'date','prize','no1','no2','no3','no4','no5'
2014-04-19,0,4,9,14,31,35
2014-04-20,0,2,4,6,15,31
2014-04-21,0,6,9,24,25,34
2014-04-22,0,20,21,24,30,39
2014-04-23,0,13,14,26,27,32
2014-04-24,0,10,15,24,37,39
2014-04-25,0,6,8,17,30,37
2014-04-26,0,7,21,23,26,35
2014-04-27,0,3,5,6,15,39
2014-04-28,0,18,19,21,23,35
2014-04-29,0,14,23,24,26,27
2014-04-30,0,13,15,22,28,34
2014-05-01,0,9,12,15,19,37
2014-05-02,0,17,19,21,30,33
2014-05-03,0,14,20,24,25,29
2014-05-04,0,18,29,32,34,36
2014-05-05,0,1,2,16,29,38
2014-05-06,0,4,6,12,22,34
2014-05-07,0,1,6,14,16,39
2014-05-08,0,22,24,29,32,34
2014-05-09,0,5,10,19,30,37
2014-05-10,0,4,8,12,34,35
2014-05-11,0,11,12,15,20,25
2014-05-12,0,7,13,14,17,22
2014-05-13,0,8,11,15,19,35
2014-05-14,0,1,2,13,26,33
2014-05-15,0,2,12,26,28,31
2014-05-16,0,1,5,16,31,39
2014-05-17,0,3,14,25,26,27
2014-05-18,0,7,10,18,28,35
2014-05-19,0,15,17,24,35,39
2014-05-20,0,3,6,11,18,29
2014-05-21,0,1,3,12,28,35
2014-05-22,0,2,9,16,25,32
2014-05-23,0,1,8,22,27,33
2014-05-24,0,4,11,15,29,38
2014-05-25,0,12,15,29,33,35
2014-05-26,0,4,15,21,25,27
2014-05-27,0,12,16,24,31,38
2014-05-28,0,7,16,20,31,35
2014-05-29,0,6,11,14,19,39
2014-05-30,0,2,5,6,15,20
2014-05-31,0,2,10,11,15,34
2014-06-01,0,2,10,11,15,34
2014-06-02,0,20,25,26,32,35
2014-06-03,0,5,8,20,22,33
2014-06-04,0,13,14,17,30,32
2014-06-05,0,12,14,31,35,39
2014-06-06,0,12,19,22,30,35
2014-06-07,0,11,13,20,25,39
2014-06-08,0,8,16,23,36,37
2014-06-09,0,11,20,21,23,24
2014-06-10,0,20,21,23,37,38
2014-06-11,0,4,20,24,27,35
2014-06-12,0,4,11,13,15,29
2014-06-13,0,5,18,26,30,35
2014-06-14,0,1,2,12,35,38
2014-06-15,0,9,13,16,17,20
2014-06-16,0,4,11,14,25,35
2014-06-17,0,1,15,26,30,38
2014-06-18,0,5,13,21,27,39
2014-06-19,0,3,6,16,22,28
2014-06-20,0,10,18,23,28,33
2014-06-21,0,1,10,18,21,36
2014-06-22,0,10,14,21,22,33
2014-06-23,0,1,4,23,27,33
2014-06-24,0,1,6,9,17,31
2014-06-25,0,9,12,13,22,26
2014-06-26,0,8,17,22,32,34
2014-06-27,0,1,19,24,35,38
2014-06-28,0,21,24,27,30,35
2014-06-29,0,9,11,24,32,35
2014-06-30,0,6,10,16,27,34
2014-07-01,0,4,5,6,22,35
2014-07-02,0,7,17,28,29,32
2014-07-03,0,4,13,25,30,35
2014-07-04,0,13,14,18,23,27
2014-07-05,0,1,9,24,28,34
2014-07-06,0,2,8,13,23,26
2014-07-07,0,6,11,13,34,38
2014-07-08,0,24,26,30,34,39
2014-07-09,0,2,8,9,10,18
2014-07-10,0,11,13,20,24,26
2014-07-11,0,12,22,23,32,35
2014-07-12,0,5,6,11,24,37
2014-07-13,0,11,14,18,22,29
2014-07-14,0,9,11,12,13,30
2014-07-15,0,1,2,11,12,22
2014-07-16,0,22,24,30,34,36
2014-07-17,0,16,19,20,28,32
2014-07-18,0,19,21,26,33,35
2014-07-19,0,6,22,23,24,37
2014-07-20,0,1,3,26,27,38
2014-07-21,0,4,14,22,27,37
2014-07-22,0,3,4,15,24,29
2014-07-23,0,18,32,33,35,36
2014-07-24,0,5,9,12,29,33
2014-07-25,0,9,16,26,31,36
2014-07-26,0,5,8,9,28,36
2014-07-27,0,8,16,19,20,31
2014-07-28,0,1,15,18,25,36
2014-07-29,0,2,21,26,34,38
2014-07-30,0,2,15,17,18,37
2014-07-31,0,2,5,20,26,29
2014-08-01,0,2,8,26,27,37
2014-08-02,0,4,7,18,26,38
2014-08-03,0,9,10,22,28,38
2014-08-04,0,1,16,23,33,34
2014-08-05,0,8,11,21,26,35
2014-08-06,0,2,6,15,20,26
2014-08-07,0,1,3,4,9,22
2014-08-08,0,12,13,21,24,28
2014-08-09,0,12,17,19,22,34
2014-08-10,0,3,4,9,14,16
2014-08-11,0,14,18,21,29,39
2014-08-12,0,2,17,26,29,35
2014-08-13,0,5,8,10,16,27
2014-08-14,0,8,19,24,33,35
2014-08-15,0,14,23,28,34,37
2014-08-16,0,5,20,30,34,36
2014-08-17,0,7,17,22,29,34
2014-08-18,0,10,13,14,29,32
2014-08-19,0,2,4,20,22,32
2014-08-20,0,9,15,26,31,38
2014-08-21,0,3,15,19,22,32
2014-08-22,0,4,11,16,21,38
2014-08-23,0,8,10,17,24,34
2014-08-24,0,4,16,26,28,30
2014-08-25,0,6,7,10,18,24
2014-08-26,0,13,19,24,35,37
2014-08-27,0,5,14,17,33,34
2014-08-28,0,4,9,13,33,39
2014-08-29,0,5,25,26,28,31
2014-08-30,0,2,4,10,24,29
2014-08-31,0,5,12,18,23,37
2014-09-01,0,2,8,19,23,36
2014-09-02,0,5,7,13,25,30
2014-09-03,0,2,5,14,18,25
2014-09-04,0,2,5,12,18,38
2014-09-05,0,14,23,28,34,37
2014-09-06,0,6,11,29,30,36
2014-09-07,0,1,20,34,35,38
2014-09-08,0,6,15,19,27,33
2014-09-09,0,1,2,5,15,34
2014-09-10,0,7,17,19,22,25
2014-09-11,0,14,19,20,21,27
2014-09-12,0,4,6,7,20,32
2014-09-13,0,13,17,19,25,36
2014-09-14,0,7,19,28,30,31
2014-09-15,0,5,10,11,21,34
2014-09-16,0,1,9,22,27,33
2014-09-17,0,2,20,24,25,37
2014-09-18,0,5,12,28,32,36
2014-09-19,0,5,8,16,29,37
2014-09-20,0,12,14,15,18,20
2014-09-21,0,7,15,17,21,28
2014-09-22,0,3,15,26,30,37
2014-09-23,0,13,14,22,28,33
2014-09-24,0,4,6,16,29,33
2014-09-25,0,1,3,12,27,38
2014-09-26,0,10,21,22,30,36
2014-09-27,0,11,13,16,21,28
2014-09-28,0,13,22,23,25,29
2014-09-29,0,2,3,13,18,38
2014-09-30,0,8,20,24,33,39
2014-10-01,0,2,15,30,35,37
2014-10-02,0,3,15,26,32,34
2014-10-03,0,3,11,23,30,39
2014-10-04,0,5,9,22,32,39
2014-10-05,0,4,12,14,23,24
2014-10-06,0,4,9,10,32,35
2014-10-07,0,1,8,30,34,35
2014-10-08,0,2,18,23,33,39
2014-10-09,0,3,20,21,28,39
2014-10-10,0,1,2,6,19,34
2014-10-11,0,14,16,17,20,33
2014-10-12,0,3,13,20,31,32
2014-10-13,0,9,22,27,29,35
2014-10-14,0,9,14,20,21,34
2014-10-15,0,1,3,19,29,36
2014-10-16,0,11,18,22,27,28
2014-10-17,0,1,8,12,18,27
2014-10-18,0,2,5,25,37,39
2014-10-19,0,9,18,32,37,39
2014-10-20,0,6,12,21,28,35
2014-10-21,0,2,11,13,21,35
2014-10-22,0,6,14,33,34,37
2014-10-23,0,3,8,17,27,29
2014-10-24,0,2,11,22,25,37
2014-10-25,0,10,22,26,29,30
2014-10-26,0,3,8,9,17,31
2014-10-27,0,13,18,22,25,37
2014-10-28,0,8,9,19,20,28
2014-10-29,0,18,25,27,33,34
2014-10-30,0,5,7,9,16,29
2014-10-31,0,9,27,28,30,38
2014-11-01,0,9,27,28,30,38
2014-11-02,0,3,12,14,32,34
2014-11-03,0,5,10,15,22,25
2014-11-04,0,4,15,32,34,37
2014-11-05,0,7,20,25,27,29
2014-11-06,0,8,11,23,36,38
2014-11-07,0,5,16,17,22,36
2014-11-08,0,2,4,5,30,37
2014-11-09,0,8,12,15,31,39
2014-11-10,0,1,7,16,30,34
2014-11-11,0,11,13,24,31,34
2014-11-12,0,8,9,17,32,33
2014-11-13,0,8,16,25,29,32
2014-11-14,0,17,30,31,35,38
2014-11-15,0,10,16,31,34,35
2014-11-16,0,8,17,30,32,38
2014-11-17,0,3,18,23,27,36
2014-11-18,0,3,26,27,31,33
2014-11-19,0,1,3,11,25,27
2014-11-20,0,3,14,24,33,36
2014-11-21,0,10,17,19,23,33
2014-11-22,0,4,6,7,11,14
2014-11-23,0,8,20,25,26,36
2014-11-24,0,5,22,27,36,39
2014-11-25,0,3,9,19,32,36
2014-11-26,0,7,8,27,29,39
2014-11-27,0,3,11,13,14,34
2014-11-28,0,7,8,12,30,36
2014-11-29,0,4,10,18,31,33
2014-11-30,0,1,5,6,22,35
2014-12-01,0,2,12,22,26,35
2014-12-02,0,9,10,13,19,38
2014-12-03,0,5,10,11,23,32
2014-12-04,0,1,18,26,35,39
2014-12-05,0,3,5,11,36,37
2014-12-06,0,1,16,23,29,33
2014-12-07,0,3,15,19,29,36
2014-12-08,0,9,17,22,25,28
2014-12-09,0,1,5,17,35,39
2014-12-10,0,1,4,14,17,22
2014-12-11,0,19,20,26,29,31
2014-12-12,0,10,15,26,35,39
2014-12-13,0,11,13,14,15,20
2014-12-14,0,1,3,6,13,39
2014-12-15,0,1,11,17,19,35
2014-12-16,0,3,13,27,33,37
2014-12-17,0,6,15,17,23,32
2014-12-18,0,24,31,34,35,39
2014-12-19,0,16,21,25,33,36
2014-12-20,0,17,24,29,30,36
2014-12-21,0,4,8,10,11,21
2014-12-22,0,5,11,24,29,36
2014-12-23,0,6,12,21,24,35
2014-12-24,0,18,30,32,34,36
2014-12-25,0,1,11,17,29,38
2014-12-26,0,4,6,15,24,36
2014-12-27,0,10,25,27,31,35
2014-12-28,0,7,16,27,37,39
2014-12-29,0,7,14,15,38,39
2014-12-30,0,2,11,22,30,38
2014-12-31,0,7,8,18,28,29
2015-01-01,0,7,9,24,27,36
2015-01-02,0,5,12,27,34,35
2015-01-04,0,15,17,21,24,26
2015-01-05,0,1,3,15,35,37
2015-01-06,0,5,14,21,23,32
2015-01-07,0,3,8,16,19,22
2015-01-08,0,4,6,11,22,29
2015-01-09,0,12,13,26,34,37
2015-01-10,0,3,8,15,24,27
2015-01-11,0,11,24,25,27,38
2015-01-12,0,6,9,10,33,35
2015-01-13,0,1,19,34,37,39
2015-01-14,0,8,9,12,14,28
2015-01-15,0,2,10,27,30,31
2015-01-16,0,14,21,22,30,39
2015-01-17,0,2,6,12,16,18
2015-01-18,0,3,10,16,21,30
2015-01-19,0,4,6,8,31,38
2015-01-20,0,3,4,12,19,20
2015-01-21,0,27,28,29,31,36
2015-01-22,0,8,17,22,35,38
2015-01-23,0,3,7,11,12,15
2015-01-24,0,17,25,30,33,34
2015-01-25,0,11,30,32,36,39
2015-01-26,0,8,10,35,36,39
2015-01-27,0,10,17,19,22,30
2015-01-28,0,1,17,18,33,35
2015-01-29,0,1,2,8,22,28
2015-01-30,0,9,16,19,20,30
2015-01-31,0,5,6,17,28,30
2015-02-01,0,5,6,17,28,30
2015-02-02,0,5,12,15,24,38
2015-02-03,0,2,14,26,28,32
2015-02-04,0,5,22,32,35,38
2015-02-05,0,1,9,16,18,34
2015-02-06,0,8,10,28,32,34
2015-02-07,0,8,11,22,27,30
2015-02-08,0,1,8,10,16,29
2015-02-09,0,3,17,26,33,38
2015-02-10,0,7,11,15,27,37
2015-02-11,0,12,27,30,35,36
2015-02-12,0,2,7,23,36,38
2015-02-13,0,2,19,23,28,37
2015-02-14,0,12,14,32,36,38
2015-02-15,0,2,3,11,12,14
2015-02-16,0,4,12,15,23,24
2015-02-17,0,6,15,25,36,38
2015-02-18,0,2,25,31,35,37
2015-02-19,0,7,23,31,37,39
2015-02-20,0,8,13,19,28,33
2015-02-21,0,14,21,23,30,36
2015-02-22,0,3,17,22,28,30
2015-02-23,0,7,19,26,31,35
2015-02-24,0,3,7,16,17,38
2015-02-25,0,3,8,22,23,28
2015-02-26,0,1,12,13,15,16
2015-02-27,0,21,23,24,30,38
2015-02-28,0,1,16,24,34,38
2015-03-01,0,13,19,23,30,37
2015-03-02,0,5,6,8,19,39
2015-03-03,0,9,12,17,26,37
2015-03-04,0,2,3,7,18,38
2015-03-05,0,3,15,31,36,38
2015-03-06,0,3,5,25,32,37
2015-03-07,0,1,2,25,30,32
2015-03-08,0,4,15,19,22,25
2015-03-09,0,18,20,30,33,38
2015-03-10,0,2,6,10,24,26
2015-03-11,0,4,10,12,26,30
2015-03-12,0,4,6,14,17,23
2015-03-13,0,1,27,31,33,38
2015-03-14,0,7,20,21,28,29
2015-03-15,0,1,8,13,14,22
2015-03-16,0,7,10,24,31,35
2015-03-17,0,3,7,14,21,23
2015-03-18,0,2,4,5,10,27
2015-03-19,0,6,15,23,33,36
2015-03-20,0,6,10,17,19,27
2015-03-21,0,1,2,7,36,39
2015-03-22,0,1,4,6,12,13
2015-03-23,0,7,15,18,37,38
2015-03-24,0,7,15,17,24,36
2015-03-25,0,8,9,10,17,18
2015-03-26,0,2,11,25,36,39
2015-03-27,0,6,15,16,21,38
2015-03-28,0,1,15,25,27,33
2015-03-29,0,6,14,18,20,39
2015-03-30,0,3,21,34,36,38
2015-03-31,0,3,14,17,21,37
2015-04-01,0,3,14,17,21,37
2015-04-02,0,7,10,18,29,36
2015-04-03,0,1,12,15,37,38
2015-04-04,0,3,5,6,30,33
2015-04-05,0,9,15,17,33,39
2015-04-06,0,6,19,33,36,37
2015-04-07,0,9,23,27,33,35
2015-04-08,0,1,11,13,15,28
2015-04-09,0,4,11,15,33,35
2015-04-10,0,4,5,10,11,12
2015-04-11,0,7,12,16,31,39
2015-04-12,0,20,23,28,31,33
2015-04-13,0,8,11,27,28,39
2015-04-14,0,12,13,20,25,33
2015-04-15,0,5,13,24,35,36
2015-04-16,0,2,9,15,27,35
2015-04-17,0,6,7,9,10,35
2015-04-18,0,9,13,18,28,31
2015-04-19,0,6,21,23,27,35
2015-04-20,0,5,17,20,24,29
2015-04-21,0,8,9,24,28,39
2015-04-22,0,3,12,27,31,34
2015-04-23,0,2,23,32,33,35
2015-04-24,0,7,9,13,29,30
2015-04-25,0,9,10,17,28,39
2015-04-26,0,20,29,35,36,39
2015-04-27,0,5,12,16,23,29
2015-04-28,0,7,15,17,25,33
2015-04-29,0,12,22,25,29,30
2015-04-30,0,9,17,22,32,33
2015-05-01,0,5,18,21,30,35
2015-05-02,0,1,7,11,27,38
2015-05-04,0,19,23,31,38,39
2015-05-05,0,2,8,19,32,35
2015-05-06,0,4,6,17,18,21
2015-05-07,0,3,10,27,28,39
2015-05-08,0,12,16,26,29,31
2015-05-09,0,2,4,14,23,39
2015-05-10,0,3,4,16,24,37
2015-05-11,0,2,7,26,35,39
2015-05-12,0,1,11,17,19,37
2015-05-13,0,1,7,23,25,29
2015-05-14,0,5,7,8,26,29
2015-05-15,0,1,23,26,33,35
2015-05-16,0,3,10,14,15,29
2015-05-17,0,10,14,18,22,29
2015-05-18,0,2,31,34,36,39
2015-05-19,0,7,12,13,27,37
2015-05-20,0,9,21,26,34,39
2015-05-21,0,3,23,30,33,37
2015-05-22,0,7,23,34,35,36
2015-05-23,0,2,6,15,17,20
2015-05-24,0,7,14,28,36,37
2015-05-25,0,10,14,23,32,39
2015-05-26,0,12,21,29,36,39
2015-05-27,0,3,16,22,36,38
2015-05-28,0,4,5,27,28,39
2015-05-29,0,5,6,17,29,35
2015-05-30,0,23,26,27,31,36
2015-05-31,0,4,5,11,26,36
2015-06-01,0,10,23,24,32,35
2015-06-02,0,6,18,24,26,32
2015-06-03,0,4,11,18,29,35
2015-06-04,0,5,10,20,22,28
2015-06-05,0,3,15,17,29,30
2015-06-06,0,6,10,18,20,39
2015-06-07,0,1,3,4,5,27
2015-06-08,0,9,13,14,15,19
2015-06-09,0,9,14,18,24,38
2015-06-10,0,12,14,17,31,34
2015-06-11,0,2,9,13,34,37
2015-06-12,0,9,10,12,20,28
2015-06-13,0,2,14,24,30,35
2015-06-14,0,2,15,17,30,35
2015-06-15,0,13,20,27,31,35
2015-06-16,0,7,9,17,19,31
2015-06-17,0,4,18,22,23,27
2015-06-18,0,1,2,3,23,37
2015-06-19,0,4,11,19,26,39
2015-06-20,0,6,11,28,30,31
2015-06-21,0,8,23,24,31,37
2015-06-22,0,1,2,10,22,32
2015-06-23,0,10,11,14,17,24
2015-06-24,0,12,19,23,28,34
2015-06-25,0,2,4,10,31,34
2015-06-26,0,3,17,27,32,39
2015-06-27,0,3,4,8,27,39
2015-06-28,0,8,25,28,31,34
2015-06-29,0,8,10,14,17,21
2015-06-30,0,6,19,27,29,39
2015-07-01,0,5,16,17,21,22
2015-07-02,0,7,16,30,33,39
2015-07-03,0,3,7,23,32,33
2015-07-04,0,11,13,16,19,34
2015-07-05,0,7,13,18,27,37
2015-07-06,0,5,8,16,17,32
2015-07-07,0,4,14,15,16,30
2015-07-08,0,1,19,20,27,38
2015-07-09,0,9,16,18,20,26
2015-07-10,0,3,7,19,27,29
2015-07-11,0,10,23,35,38,39
2015-07-12,0,7,19,29,30,36
2015-07-13,0,5,17,26,32,38
2015-07-14,0,7,12,13,25,34
2015-07-15,0,2,11,14,15,33
2015-07-16,0,6,13,18,20,35
2015-07-17,0,10,19,27,33,35
2015-07-18,0,1,10,20,35,38
2015-07-19,0,2,12,16,24,26
2015-07-20,0,3,14,29,34,38
2015-07-21,0,6,11,18,31,39
2015-07-22,0,4,14,16,34,36
2015-07-23,0,3,14,15,20,37
2015-07-24,0,5,8,17,28,37
2015-07-25,0,13,14,24,29,34
2015-07-26,0,3,6,11,13,20
2015-07-27,0,10,16,18,23,36
2015-07-28,0,7,10,16,30,38
2015-07-29,0,1,6,18,21,28
2015-07-30,0,3,32,35,36,39
2015-07-31,0,10,26,29,38,39
2015-08-01,0,10,26,29,38,39
2015-08-02,0,10,12,18,19,27
2015-08-03,0,12,14,20,27,38
2015-08-04,0,7,10,19,28,34
2015-08-05,0,6,8,12,26,36
2015-08-06,0,5,19,24,30,38
2015-08-07,0,15,16,18,30,34
2015-08-08,0,1,7,26,34,35
2015-08-09,0,12,13,27,28,36
2015-08-10,0,3,5,20,29,34
2015-08-11,0,3,5,17,22,26
2015-08-12,0,2,20,26,34,36
2015-08-13,0,2,8,31,35,36
2015-08-14,0,1,13,16,34,35
2015-08-15,0,10,20,24,27,28
2015-08-16,0,6,7,30,34,35
2015-08-17,0,9,10,16,23,28
2015-08-18,0,1,4,13,14,17
2015-08-19,0,5,7,20,31,36
2015-08-20,0,8,17,19,27,35
2015-08-21,0,14,15,21,25,27
2015-08-22,0,10,11,14,19,39
2015-08-23,0,3,7,31,35,39
2015-08-24,0,8,11,17,36,39
2015-08-25,0,10,13,14,35,38
2015-08-26,0,1,16,25,26,38
2015-08-27,0,2,4,12,33,39
2015-08-28,0,5,13,15,29,36
2015-08-29,0,10,24,27,33,38
2015-08-30,0,9,19,22,25,28
2015-08-31,0,2,5,10,12,27
2015-09-01,0,2,5,10,12,27
2015-09-02,0,1,4,14,16,32
2015-09-03,0,2,6,13,26,34
2015-09-04,0,16,23,28,35,38
2015-09-05,0,6,8,25,26,38
2015-09-06,0,9,24,27,32,33
2015-09-07,0,6,7,11,20,39
2015-09-08,0,5,14,31,33,39
2015-09-09,0,6,10,12,28,39
2015-09-10,0,14,31,32,33,34
2015-09-11,0,2,11,13,20,27
2015-09-12,0,8,11,15,19,20
2015-09-13,0,7,23,24,32,39
2015-09-14,0,1,3,9,23,25
2015-09-15,0,3,9,13,21,34
2015-09-16,0,3,6,11,15,38
2015-09-17,0,6,16,26,29,32
2015-09-18,0,8,18,28,34,39
2015-09-19,0,4,5,7,24,26
2015-09-20,0,1,5,28,29,36
2015-09-21,0,5,12,20,28,29
2015-09-22,0,8,12,20,22,35
2015-09-23,0,7,21,27,30,31
2015-09-24,0,4,15,26,37,39
2015-09-25,0,9,10,15,16,32
2015-09-26,0,13,34,36,37,39
2015-09-27,0,12,18,21,26,34
2015-09-28,0,2,17,23,28,36
2015-09-29,0,8,10,16,20,36
2015-09-30,0,2,8,17,29,32
2015-10-01,0,12,16,19,29,37
2015-10-02,0,9,10,12,23,39
2015-10-03,0,4,12,16,24,30
2015-10-04,0,3,5,20,21,24
2015-10-05,0,1,2,33,35,36
2015-10-06,0,9,12,18,19,25
2015-10-07,0,5,10,11,26,31
2015-10-08,0,3,23,24,25,36
2015-10-09,0,4,6,13,34,37
2015-10-10,0,15,22,30,31,33
2015-10-11,0,3,14,22,25,37
2015-10-12,0,4,5,10,18,19
2015-10-13,0,3,21,34,35,36
2015-10-14,0,7,8,16,21,24
2015-10-15,0,2,12,29,32,34
2015-10-16,0,6,7,16,18,25
2015-10-17,0,1,7,10,23,38
2015-10-18,0,2,6,10,30,34
2015-10-19,0,9,12,27,33,34
2015-10-20,0,14,27,31,35,37
2015-10-21,0,4,8,14,28,36
2015-10-22,0,10,12,17,35,36
2015-10-23,0,4,14,17,19,21
2015-10-24,0,2,14,23,32,33
2015-10-25,0,2,23,28,31,37
2015-10-26,0,5,12,27,32,38
2015-10-27,0,1,13,19,28,29
2015-10-28,0,2,7,14,26,38
2015-10-29,0,3,4,17,29,36
2015-10-30,0,8,13,26,27,34
2015-10-31,0,1,6,8,11,38
2015-11-01,0,1,6,8,11,38
2015-11-02,0,2,8,14,36,37
2015-11-03,0,1,10,13,23,30
2015-11-04,0,6,21,27,31,37
2015-11-05,0,12,17,23,30,38
2015-11-06,0,8,14,18,19,31
2015-11-07,0,19,22,31,35,36
2015-11-08,0,12,20,21,36,39
2015-11-09,0,12,15,16,18,33
2015-11-10,0,4,9,15,20,24
2015-11-11,0,1,11,12,16,30
2015-11-12,0,2,7,21,23,31
2015-11-13,0,13,31,33,36,38
2015-11-14,0,17,27,31,34,37
2015-11-15,0,3,19,27,28,33
2015-11-16,0,10,11,19,27,30
2015-11-17,0,3,5,7,8,32
2015-11-18,0,8,12,19,26,29
2015-11-19,0,15,18,31,32,36
2015-11-20,0,13,16,17,22,33
2015-11-21,0,1,25,29,36,37
2015-11-22,0,3,20,23,30,34
2015-11-23,0,8,10,13,23,37
2015-11-24,0,4,5,17,32,39
2015-11-25,0,5,23,27,30,34
2015-11-26,0,16,23,24,25,37
2015-11-27,0,1,3,9,26,34
2015-11-28,0,14,15,27,30,34
2015-11-29,0,12,20,32,38,39
2015-11-30,0,7,13,15,36,37
2015-12-01,0,1,13,16,17,22
2015-12-02,0,19,20,21,24,34
2015-12-03,0,10,20,25,33,38
2015-12-04,0,4,12,33,37,38
2015-12-05,0,1,19,30,38,39
2015-12-06,0,2,9,10,22,23
2015-12-07,0,5,14,19,22,29
2015-12-08,0,6,16,21,22,39
2015-12-09,0,6,19,21,22,39
2015-12-10,0,9,12,13,19,27
2015-12-11,0,2,18,23,37,39
2015-12-12,0,1,5,24,30,34
2015-12-13,0,8,13,14,25,34
2015-12-14,0,5,7,22,25,28
2015-12-15,0,15,18,19,24,31
2015-12-16,0,11,15,17,34,35
2015-12-17,0,5,9,24,29,32
2015-12-18,0,14,23,26,31,34
2015-12-19,0,3,8,12,23,37
2015-12-20,0,4,5,15,18,39
2015-12-21,0,2,14,15,37,38
2015-12-22,0,8,30,33,35,38
2015-12-23,0,2,12,23,32,39
2015-12-24,0,11,21,27,28,39
2015-12-25,0,5,17,18,20,25
2015-12-26,0,3,14,22,23,29
2015-12-27,0,2,4,14,36,37
2015-12-28,0,1,14,28,32,36
2015-12-29,0,9,13,18,33,34
2015-12-30,0,8,15,20,27,35
2015-12-31,0,8,10,15,33,39
2016-01-01,0,15,27,28,29,32
2016-01-02,0,3,10,20,22,35
2016-01-03,0,5,7,8,27,35
2016-01-04,0,6,13,24,31,35
2016-01-05,0,8,14,22,25,26
2016-01-06,0,2,3,18,24,33
2016-01-07,0,13,22,23,25,32
2016-01-08,0,15,16,29,33,39
2016-01-09,0,21,22,27,32,37
2016-01-10,0,3,16,20,37,39
2016-01-11,0,7,10,12,17,22
2016-01-12,0,12,30,35,36,39
2016-01-13,0,5,21,24,28,31
2016-01-14,0,6,16,21,28,34
2016-01-15,0,6,12,17,31,38
2016-01-16,0,4,6,12,14,39
2016-01-17,0,2,3,15,21,38
2016-01-18,0,7,8,21,26,29
2016-01-19,0,7,14,36,37,38
2016-01-20,0,1,7,15,28,29
2016-01-21,0,5,8,21,24,31
2016-01-22,0,10,16,17,33,39
2016-01-23,0,12,18,29,37,39
2016-01-24,0,17,20,29,30,33
2016-01-25,0,4,5,24,26,27
2016-01-26,0,14,15,18,20,34
2016-01-27,0,1,13,16,21,37
2016-01-28,0,1,5,29,32,36
2016-01-29,0,4,7,10,17,39
2016-01-30,0,2,8,17,26,36
2016-01-31,0,5,6,21,26,32
2016-02-01,0,4,14,22,28,38
2016-02-02,0,10,14,27,28,30
2016-02-03,0,4,7,11,12,30
2016-02-04,0,8,17,18,37,39
2016-02-05,0,3,11,17,22,31
2016-02-06,0,9,25,28,38,39
2016-02-07,0,18,29,30,31,38
2016-02-08,0,2,11,24,26,37
2016-02-09,0,4,7,24,29,39
2016-02-10,0,2,5,9,21,23
2016-02-11,0,7,11,26,28,38
2016-02-12,0,2,14,28,31,35
2016-02-13,0,5,7,11,18,32
2016-02-14,0,9,11,16,32,38
2016-02-15,0,11,19,20,24,35
2016-02-16,0,3,7,16,21,27
2016-02-17,0,5,17,32,34,35
2016-02-18,0,1,13,23,31,39
2016-02-19,0,3,6,15,27,35
2016-02-20,0,3,17,23,34,38
2016-02-21,0,2,4,6,11,17
2016-02-22,0,9,11,21,34,35
2016-02-23,0,12,15,19,23,35
2016-02-24,0,3,17,18,25,36
2016-02-25,0,1,5,20,22,37
2016-02-26,0,9,11,32,33,34
2016-02-27,0,2,23,24,29,34
2016-02-28,0,2,13,14,32,38
2016-02-29,0,3,4,8,19,22
2016-03-01,0,13,27,35,37,39
2016-03-02,0,8,10,14,16,26
2016-03-03,0,14,15,26,31,33
2016-03-04,0,8,10,11,19,25
2016-03-05,0,11,21,22,23,29
2016-03-06,0,1,10,13,24,27
2016-03-07,0,4,7,10,16,18
2016-03-08,0,1,4,24,27,36
2016-03-09,0,4,5,14,22,31
2016-03-10,0,20,23,24,38,39
2016-03-11,0,3,11,13,22,25
2016-03-12,0,15,18,19,28,38
2016-03-13,0,16,18,23,27,36
2016-03-14,0,4,5,24,28,37
2016-03-15,0,2,8,11,21,32
2016-03-16,0,4,14,20,27,34
2016-03-17,0,10,11,12,32,34
2016-03-18,0,3,12,14,24,31
2016-03-19,0,11,14,27,32,36
2016-03-20,0,6,15,30,36,39
2016-03-21,0,2,3,4,5,16
2016-03-22,0,10,19,23,25,38
2016-03-23,0,1,2,8,10,39
2016-03-24,0,9,14,19,20,33
2016-03-25,0,5,6,18,34,39
2016-03-26,0,3,12,16,18,23
2016-03-27,0,1,12,33,36,37
2016-03-28,0,3,26,29,33,37
2016-03-29,0,11,18,23,32,39
2016-03-30,0,6,11,20,22,30
2016-03-31,0,6,12,27,29,31
2016-04-01,0,5,10,26,29,31
2016-04-02,0,13,17,24,27,37
2016-04-03,0,3,4,7,12,19
2016-04-04,0,2,11,17,28,29
2016-04-05,0,12,16,23,28,39
2016-04-06,0,9,21,24,25,33
2016-04-07,0,14,22,29,33,38
2016-04-08,0,4,17,28,31,34
2016-04-09,0,3,11,12,20,35
2016-04-10,0,1,15,21,27,30
2016-04-11,0,11,14,17,22,30
2016-04-12,0,8,20,25,33,34
2016-04-13,0,5,8,20,31,32
2016-04-14,0,18,24,25,38,39
2016-04-15,0,4,10,19,20,21
2016-04-16,0,19,26,32,36,37
2016-04-17,0,13,14,15,23,35
2016-04-18,0,1,8,14,25,34
2016-04-19,0,5,9,18,30,38
2016-04-20,0,3,7,18,22,31
2016-04-21,0,1,13,29,34,38
2016-04-22,0,30,31,34,35,37
2016-04-23,0,1,6,20,24,36
2016-04-24,0,2,10,18,19,36
