'date','prize','no1','no2','no3','no4','no5'
2011-02-14,0,18,19,28,31,37
2011-02-15,0,11,13,24,28,38
2011-02-16,0,4,8,10,17,23
2011-02-17,0,2,12,22,34,37
2011-02-18,0,3,14,19,35,39
2011-02-19,0,11,16,18,27,28
2011-02-20,0,2,3,8,11,24
2011-02-21,0,1,13,19,24,34
2011-02-22,0,3,6,11,12,34
2011-02-23,0,6,10,18,34,38
2011-02-24,0,2,4,14,15,20
2011-02-25,0,7,15,25,28,29
2011-02-26,0,14,21,25,35,36
2011-02-27,0,8,11,15,16,17
2011-02-28,0,23,32,33,37,39
2011-03-01,0,14,23,24,31,36
2011-03-02,0,3,16,23,33,38
2011-03-03,0,6,12,24,27,32
2011-03-04,0,12,20,24,30,37
2011-03-05,0,5,27,31,34,36
2011-03-06,0,7,11,21,29,39
2011-03-07,0,11,13,18,19,34
2011-03-08,0,10,15,19,20,24
2011-03-09,0,26,27,28,34,39
2011-03-10,0,19,20,28,34,35
2011-03-11,0,1,7,23,27,31
2011-03-12,0,3,13,16,30,34
2011-03-13,0,15,24,25,34,38
2011-03-14,0,11,15,18,28,32
2011-03-15,0,4,10,16,25,30
2011-03-16,0,2,9,11,24,34
2011-03-17,0,3,6,14,15,36
2011-03-18,0,17,27,34,35,36
2011-03-19,0,4,14,16,17,34
2011-03-20,0,1,15,17,26,38
2011-03-21,0,7,8,20,32,34
2011-03-22,0,5,9,11,16,27
2011-03-23,0,1,7,18,29,39
2011-03-24,0,4,6,13,15,33
2011-03-25,0,4,9,18,19,30
2011-03-26,0,3,9,14,27,35
2011-03-27,0,13,14,28,36,39
2011-03-28,0,7,13,17,21,37
2011-03-29,0,5,10,11,26,31
2011-03-30,0,1,15,19,21,39
2011-03-31,0,19,20,22,29,34
2011-04-01,0,5,22,24,28,29
2011-04-02,0,4,5,20,27,39
2011-04-03,0,10,28,29,34,37
2011-04-04,0,1,10,26,35,36
2011-04-05,0,5,6,8,24,35
2011-04-06,0,3,21,27,31,39
2011-04-07,0,3,22,30,34,37
2011-04-08,0,7,10,17,24,39
2011-04-09,0,15,19,26,28,34
2011-04-10,0,17,20,28,30,37
2011-04-11,0,6,13,16,28,36
2011-04-12,0,10,11,13,22,38
2011-04-13,0,7,19,20,26,31
2011-04-14,0,17,25,28,37,39
2011-04-15,0,1,8,16,19,32
2011-04-16,0,10,21,26,29,30
2011-04-17,0,6,9,34,37,38
2011-04-19,0,5,6,28,36,39
2011-04-20,0,9,10,37,38,39
2011-04-21,0,2,6,19,27,31
2011-04-22,0,7,10,13,19,31
2011-04-23,0,7,9,10,15,20
2011-04-24,0,3,9,15,38,39
2011-04-25,0,3,23,26,35,38
2011-04-26,0,12,18,19,23,37
2011-04-27,0,8,10,16,21,39
2011-04-28,0,6,10,33,37,39
2011-04-29,0,4,24,25,26,38
2011-04-30,0,8,12,25,31,33
2011-05-01,0,4,5,6,9,22
2011-05-02,0,14,20,23,29,31
2011-05-03,0,12,23,26,27,28
2011-05-04,0,10,14,16,22,32
2011-05-05,0,1,16,26,28,31
2011-05-06,0,11,21,26,31,32
2011-05-07,0,3,6,23,30,39
2011-05-08,0,2,10,13,23,29
2011-05-09,0,5,21,26,35,39
2011-05-10,0,7,12,26,28,39
2011-05-11,0,2,7,19,25,30
2011-05-12,0,11,13,32,34,36
2011-05-13,0,12,32,34,36,37
2011-05-14,0,23,25,28,32,33
2011-05-15,0,3,9,16,17,21
2011-05-16,0,16,20,27,36,39
2011-05-17,0,9,12,23,24,28
2011-05-18,0,10,20,22,30,35
2011-05-19,0,11,17,31,36,39
2011-05-20,0,3,18,23,30,35
2011-05-21,0,13,18,20,28,35
2011-05-22,0,9,10,14,19,29
2011-05-23,0,5,6,7,26,28
2011-05-24,0,3,13,22,28,36
2011-05-25,0,2,4,20,35,37
2011-05-26,0,1,3,18,25,37
2011-05-27,0,2,6,16,32,39
2011-05-28,0,7,13,14,29,36
2011-05-29,0,5,12,23,28,29
2011-05-30,0,12,24,27,31,37
2011-05-31,0,1,10,14,27,35
2011-06-01,0,8,10,15,28,33
2011-06-02,0,2,10,12,22,26
2011-06-03,0,7,20,24,28,30
2011-06-04,0,1,6,14,17,26
2011-06-05,0,7,11,27,33,34
2011-06-06,0,7,10,12,14,22
2011-06-07,0,5,11,24,27,32
2011-06-08,0,7,9,33,37,39
2011-06-09,0,6,11,32,34,36
2011-06-10,0,10,18,26,28,37
2011-06-11,0,2,4,6,18,28
2011-06-12,0,11,23,27,31,35
2011-06-13,0,9,26,27,32,37
2011-06-14,0,14,25,32,38,39
2011-06-15,0,1,8,28,31,33
2011-06-16,0,6,7,10,15,17
2011-06-17,0,24,28,30,33,39
2011-06-18,0,8,14,18,30,36
2011-06-19,0,5,10,13,25,31
2011-06-20,0,7,18,23,28,39
2011-06-21,0,17,24,28,30,33
2011-06-22,0,2,3,11,12,20
2011-06-23,0,9,10,16,19,35
2011-06-24,0,8,21,22,27,32
2011-06-25,0,3,8,13,15,25
2011-06-26,0,2,3,19,21,27
2011-06-27,0,5,7,21,32,33
2011-06-28,0,7,15,32,33,35
2011-06-29,0,6,10,11,15,34
2011-06-30,0,8,20,25,32,39
2011-07-01,0,3,20,24,33,38
2011-07-02,0,15,21,25,34,39
2011-07-03,0,5,14,23,30,37
2011-07-04,0,1,3,7,9,16
2011-07-05,0,9,13,14,26,29
2011-07-06,0,1,5,12,13,21
2011-07-07,0,13,27,31,34,37
2011-07-08,0,7,30,34,35,39
